mbps,conn,secs,server,client,server_st,client_st,size,socket_len,duration,interval
15182,15182,4,server_monoio_mt,client_tokio_mt,false,false,1048576,100,4,2
13120,13120,4,server_monoio_mt,client_tokio_st,false,true,1048576,100,4,2
12076,12076,4,server_tokio_uring_mt,client_tokio_mt,false,false,1048576,100,4,2
12059,12059,4,server_tokio_uring_mt,client_tokio_st,false,true,1048576,100,4,2
11125,11125,4,server_tokio_mt,client_tokio_st,false,true,1048576,100,4,2
9382,9382,4,server_tokio_mt,client_tokio_mt,false,false,1048576,100,4,2
4104,4104,4,server_monoio_st,client_tokio_st,true,true,1048576,100,4,2
1938,1938,4,server_tokio_uring_st,client_tokio_st,true,true,1048576,100,4,2
1856,1856,4,server_monoio_st,client_tokio_mt,true,false,1048576,100,4,2
1503,1503,4,server_tokio_st,client_tokio_st,true,true,1048576,100,4,2
1366,1366,4,server_tokio_uring_st,client_tokio_mt,true,false,1048576,100,4,2
1025,1025,5,server_tokio_st,client_tokio_mt,true,false,1048576,100,4,2
864,55302,4,server_monoio_mt,client_tokio_st,false,true,16384,100,4,2
684,43783,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,100,4,2
648,41491,4,server_tokio_st,client_tokio_mt,true,false,16384,100,4,2
599,38345,4,server_tokio_st,client_tokio_mt,true,false,16384,100,4,2
543,34796,4,server_tokio_st,client_tokio_st,true,true,16384,100,4,2
479,30683,4,server_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
459,29421,4,server_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
441,28258,4,server_monoio_mt,client_tokio_mt,false,false,16384,100,4,2
435,27850,4,server_tokio_mt,client_tokio_st,false,true,16384,100,4,2
434,27810,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,100,4,2
428,27432,4,server_monoio_mt,client_tokio_st,false,true,16384,100,4,2
427,27384,4,server_monoio_mt,client_tokio_mt,false,false,16384,100,4,2
417,26715,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,100,4,2
415,26581,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,100,4,2
409,26210,4,server_tokio_st,client_tokio_st,true,true,16384,100,4,2
402,25774,4,server_monoio_st,client_tokio_st,true,true,16384,100,4,2
398,25511,4,server_tokio_mt,client_tokio_st,false,true,16384,100,4,2
371,23792,4,server_monoio_st,client_tokio_mt,true,false,16384,100,4,2
334,21387,4,server_monoio_st,client_tokio_mt,true,false,16384,100,4,2
298,19127,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,200,4,2
291,18658,4,server_monoio_mt,client_tokio_st,false,true,16384,200,4,2
288,18445,4,server_tokio_st,client_tokio_st,true,true,16384,200,4,2
277,17752,4,server_monoio_mt,client_tokio_mt,false,false,16384,200,4,2
267,17117,4,server_tokio_uring_st,client_tokio_st,true,true,16384,100,4,2
266,17080,4,server_monoio_st,client_tokio_st,true,true,16384,100,4,2
264,16926,4,server_tokio_mt,client_tokio_st,false,true,16384,200,4,2
261,16737,4,server_tokio_st,client_tokio_mt,true,false,16384,200,4,2
259,16586,4,server_tokio_mt,client_tokio_mt,false,false,16384,200,4,2
251,16118,4,server_monoio_st,client_tokio_mt,true,false,16384,200,4,2
244,15619,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,100,4,2
243,15591,4,server_monoio_st,client_tokio_st,true,true,16384,200,4,2
241,15465,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,100,4,2
234,14976,4,server_tokio_uring_st,client_tokio_st,true,true,16384,200,4,2
227,14583,4,server_tokio_uring_st,client_tokio_st,true,true,16384,100,4,2
226,14464,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,200,4,2
203,13004,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,200,4,2
